SMILES,BBB+/BBB-
O=c1[nH]c2ccc([S+]([O-])CCN3CCC(Cc4ccc(F)cc4)CC3)cc2o1,BBB+
CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,BBB+
CN(C(=O)C(c1ccccc1)c1ccccc1)C(CN1CCC(O)C1)c1ccccc1,BBB+
O=C(CF)NCCCCCC(=O)Nc1ccccc1,BBB+
CC(=O)Oc1ccccc1C(=O)O,BBB+
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,BBB+
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,BBB+
NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,BBB+
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,BBB+
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,BBB+
Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,BBB+
CN(C)CCCN1c2ccccc2[S+]([O-])c2ccccc21,BBB+
CCc1ccc(-n2cnc3c(sc4nccc(N(C)C)c43)c2=O)cc1,BBB+
Cn1nnc2c(C(N)=O)ncn2c1=O,BBB+
NC(=O)c1ccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)cc1,BBB+
CC(=O)NCCCOc1cccc(CN2CCCCC2)c1,BBB+
CC(C)(C)NC(=O)C1(c2c(C(=O)O)[nH]c3cc(Cl)ccc23)N2C(=O)C21c1ccc(OCc2ccc(Cl)cc2)cc1,BBB+
CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,BBB+
O=C(c1ccc(F)cc1)N1CCN(c2ccc(OCCCN3CCCCC3)cc2)C(=O)C1,BBB+
O=C(NCCN1CCN(c2cccc3c2OCC(CO)O3)CC1)c1ccc(F)cc1,BBB+
O=C(O)CNC(=O)c1ccccc1O,BBB+
CCCN(CCC)CCc1cc(O)c2[nH]c(O)cc2c1,BBB+
CCCN(CCC)CCc1ccc(O)c2[nH]c(O)cc12,BBB+
CCN1CN(c2ccc(Br)cc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,BBB+
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,BBB+
NC1(C(=O)O)CCCC1,BBB+
CC1=NC(C)=C(C(=O)OC(C)(C)C)C(c2cccc([N+](=O)[O-])c2)C1C(=O)OC(C)(C)C,BBB+
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,BBB+
CCS1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(CN(C)C)c(O)cc3nc2-1,BBB+
COc1cc2c(cc1CNC1CCCNC1c1ccccc1)N(S(C)(=O)=O)C(C)C2,BBB+
NC1(C(=O)O)CC(=O)C2C1C2(F)C(=O)O,BBB+
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,BBB+
CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,BBB+
C=CC#N,BBB+
CC1CN(Cc2ncccn2)CC1c1nc(=O)c2cnn(C3CCOCC3)c2[nH]1,BBB+
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,BBB+
CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,BBB+
Cc1nc(NC(=O)C2c3ccccc3Oc3ccccc32)no1,BBB+
NCCCS(=O)(=O)O,BBB+
O=C(c1ccc(Cl)cc1)N1CCN(c2ccc(OC3CCN(C4CCC4)CC3)cc2)C(=O)C1,BBB+
COc1cc(Nc2nn3c(NC(CO)C(C)C)cc(C4CC4)nc3c2C(N)=O)cc(OC)c1,BBB+
Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4)NC(=O)CO5)CC3)cccc2n1,BBB+
CC(C)(C)[N+]([O-])=Cc1cc[n+]([O-])cc1,BBB+
CC(C)(C)[N+](O)=C=C1C=CN(O)C=C1,BBB+
CC(C)Oc1cccc(CC(=O)N2CCCC(CC[N+]34CCC(c5ccccc5)(CC3)CC4)(c3ccc(Cl)c(Cl)c3)C2)c1,BBB+
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,BBB+
CN(C)S(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,BBB+
COc1ccc(N(c2nc(C)c(C)s2)S(C)(=O)=O)cc1CNC1CCCNC1c1ccccc1,BBB+
O=C(OCc1ccccc1)N1CCC(CNc2ncccn2)CC1,BBB+
CC(=O)C1CSc2ccccc2N1CCC1CCCCN1C,BBB+
CC(=O)OC1Cc2ccccc2C(C(N)=O)c2ccccc21,BBB+
CC1c2ccccc2N(C(N)=O)c2ccccc2C1C,BBB+
NC(=O)C1c2ccccc2C2OC2c2ccccc21,BBB+
NC(=O)N1c2ccccc2C2CC2c2ccccc21,BBB+
CN1C(=O)CCC1c1cccnc1,BBB+
Cc1nc2n(c(=O)c1CCN1CCC(c3coc4cc(F)ccc34)CC1)CCCC2,BBB+
CC(=O)Cn1nc(-c2c(-c3ccccc3)nn3ccccc23)ccc1=O,BBB+
CC(=O)Nc1ccc(O)cc1,BBB+
CNCCc1ccccn1,BBB+
Cn1c(=O)c2[nH]cnc2n(C)c1=O,BBB+
NC(=O)N1c2ccccc2C2OC2c2ccccc21,BBB+
ClCCl,BBB+
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,BBB+
CC12CCC3c4ccc(O)cc4CCC3C1CC(F)C2O,BBB+
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,BBB+
CC(C)c1nc(-c2ncn3c2CN(C)C(=O)c2c(Cl)cccc2-3)no1,BBB+
CC(C)c1nc(-c2ncn3c2CNC(=O)c2c(Cl)cccc2-3)no1,BBB+
CC1(C)SSC(C)(C)C(NC(=O)C(N)Cc2ccc(O)cc2)C(=O)NCC(=O)NC(Cc2ccccc2)C(=O)NC1C(=O)O,BBB+
Cc1c[nH]c2c1c(=O)[nH]c(=O)n2C,BBB+
CCC1(C)CC(=O)NC1=O,BBB+
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,BBB+
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2O,BBB+
Cn1cnc2c1c(=O)[nH]c(=O)n2C,BBB+
N#Cc1cc(C2=Nc3ccc(-c4ccccc4F)cc3NC(=O)C2)ccn1,BBB+
O=C(Nc1cc(Cl)ccc1O)Nc1cc(C(F)(F)F)ccc1Cl,BBB+
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,BBB+
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,BBB+
CCS1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,BBB+
CN1C(=O)C2N=CNC2N(C)C1=O,BBB+
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,BBB+
CC(Cl)Cl,BBB+
CN(C)Cc1ccnc(-c2cccc(NC3N=CC=C3[N+](=O)[O-])c2)c1,BBB+
CN(C)Cc1ccnc(-c2cccc(NC3NC=CC3[N+](=O)[O-])c2)c1,BBB+
CN(C)Cc1ccnc(-c2cccc(Nc3[nH]ccc3[N+](=O)[O-])c2)c1,BBB+
Cc1cc(Br)cc(C)c1NC1=NCCN1,BBB+
N=C(N)SCCF,BBB+
CN(C)Cc1ccc(-c2cccc(Nc3[nH]ccc3[N+](=O)[O-])c2)o1,BBB+
CN(C)Cc1ccc(-c2cccc(NC3N=CC=C3[N+](=O)[O-])c2)o1,BBB+
CN(C)c1ccc(-c2cccc(Nc3[nH]ccc3[N+](=O)[O-])c2)o1,BBB+
CC1NC(=O)C2(CCCC2)NC1=O,BBB+
CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3csc(I)c3)CC2)C1=O,BBB+
CN(C)C(=O)C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,BBB+
CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(I)s3)CC2)C1=O,BBB+
CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O,BBB+
CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OC1CC(C)(C)NC(C)(C)C1,BBB+
NC(=O)c1ccccc1,BBB+
O=C(NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1,BBB+
O=[N+]([O-])c1nccn1CCCF,BBB+
C#CCO,BBB+
C=CCc1ccccc1OCC(O)CNC(C)C,BBB+
CC(C)(O)Cn1nc(-c2c(-c3ccccc3)nn3ccccc23)ccc1=O,BBB+
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,BBB+
CCCN(CC1CC1)c1nc(C)nc2c1CCN2c1ccc(Cl)cc1Cl,BBB+
COc1cc(N)c(Cl)cc1C(=O)NC1CCNCC1OC,BBB+
COc1ccc(N2CCCC2=O)cc1CNC1CCCNC1c1ccccc1,BBB+
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,BBB+
Cc1cccc(Cl)c1Nc1nc2ccc(N3CCNC(C)C3)nc2n2cncc12,BBB+
Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,BBB+
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,BBB+
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,BBB+
OCC(O)CO,BBB+
CCCC(CCC)C(=O)O,BBB+
CCC1(C)C(=O)NC(=O)NC1=O,BBB+
Cn1ncnc1COc1nn2c(-c3cc(F)ccc3F)nnc2cc1C(C)(C)C,BBB+
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,BBB+
CC(C)Cc1ccc(C(C)C(=O)O)cc1,BBB+
CCO,BBB+
Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,BBB+
Fc1cccc(F)c1NC1=NCCN1,BBB+
NNCCc1ccccc1,BBB+
O=C(Cc1ccc(OCc2ccccc2)cc1)Nc1ccc2cnn(CCN3CCCC3)c2c1,BBB+
O=C(OCc1ccccc1)N1CCC(CNc2ccncn2)CC1,BBB+
S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1,BBB+
NCC1(CC(=O)O)CCCCC1,BBB+
CCNC(=O)C(C(N)=O)c1ccccc1,BBB+
NC(=O)OCC(COC(N)=O)c1ccccc1,BBB+
CCC(=O)Nc1c(NCC(O)C(O)C(O)CO)[nH]c(=O)[nH]c1=O,BBB+
CCCC(C)(COC(N)=O)COC(=O)NC,BBB+
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,BBB+
C=CC=C,BBB+
C=CCc1cccc(C=NNC(=O)CN2CCN(Cc3ccccc3)CC2)c1O,BBB+
CC(C)CO,BBB+
CC(N)C(=O)O,BBB+
CC1CCN(CCC2CCCN2S(=O)(=O)c2cccc(O)c2)CC1,BBB+
COC(=O)C1C(=O)CC(=Nc2cccc(OC(F)(F)F)c2)CC1C,BBB+
C[n+]1ccccc1C=NO,BBB+
O=[N+]([O-])c1nccn1CCCCCCCCF,BBB+
CCCO,BBB+
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,BBB+
Cn1nnc2ccc(C(c3ccc(Cl)cc3)n3cncn3)cc21,BBB+
NC1=NCC2c3ccccc3Cc3ccccc3N12,BBB+
CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,BBB+
CCCC(C)(COC(N)=O)COC(N)=O,BBB+
CC(C)=O,BBB+
c1ccc(-c2nnc(N3CCN(c4ncccn4)CC3)cc2-c2ccncc2)cc1,BBB+
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,BBB+
COc1ccc(S(C)(=O)=O)cc1CNC1CCCNC1c1ccccc1,BBB+
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,BBB+
NC(N)=O,BBB+
CC(=O)C=Cc1cccs1,BBB+
CC(C)Nc1cccnc1N1CCNCC1,BBB+
CCC1(CC)C(=O)NC(=O)NC1=O,BBB+
CCOC(=O)c1ncn2c1CN(CCF)C(=O)c1cc(F)ccc1-2,BBB+
ClCCCl,BBB+
N#Cc1ccsc1C1=Nc2ccc(Cl)cc2NC(=O)C1,BBB+
O=c1cc(NC2CCN(Cc3ccc4c(c3)CCO4)CC2)c2cc(Cl)ccc2o1,BBB+
COC(C)=O,BBB+
C=CCn1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(CC1CC1)CC2,BBB+
CC(C)NCCCOc1cccc(CN2CCCCC2)c1,BBB+
ClC=CCl,BBB+
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,BBB+
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,BBB+
CC(C)n1nnc(NC(=O)C2c3ccccc3Oc3ccccc32)n1,BBB+
CN1CC(CCn2c3c(c4ccccc42)C(=O)NCC3)CC1=O,BBB+
O=[N+]([O-])c1c(Cc2ccccc2)c[nH]c1NCCSCc1ccccn1,BBB+
CN(C)C1CCN(Cc2ccc(C(=O)Nc3cc(-c4ccccc4)ccc3N)cc2)CC1,BBB+
CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,BBB+
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,BBB+
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,BBB+
Cc1cc(=O)n(-c2ccccc2)n1C,BBB+
CC(C)O,BBB+
CCC(C)=O,BBB+
CC(C)NCC(O)COc1cccc2[nH]ccc12,BBB+
NC(=O)N1c2ccccc2C=Cc2ccccc21,BBB+
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,BBB+
